0:0:0:0:0:0:0:1 - - [21/May/2018:14:14:03 +0530] "GET /Application/Admin/resources/css/form-style.css HTTP/1.1" 404 1043
0:0:0:0:0:0:0:1 - - [21/May/2018:14:14:03 +0530] "GET /Application/Admin/resources/bootstrap/css/bootstrap.min.css HTTP/1.1" 404 1069
0:0:0:0:0:0:0:1 - - [21/May/2018:14:14:03 +0530] "GET /Application/Admin/resources/bootstrap/css/bootstrap.css HTTP/1.1" 404 1061
0:0:0:0:0:0:0:1 - - [21/May/2018:14:14:03 +0530] "GET /Application/Admin/resources/bootstrap/css/bootstrap.min.css HTTP/1.1" 404 1069
0:0:0:0:0:0:0:1 - - [21/May/2018:14:14:03 +0530] "GET /Application/Admin/resources/bootstrap/css/bootstrap.css HTTP/1.1" 404 1061
0:0:0:0:0:0:0:1 - - [21/May/2018:14:14:40 +0530] "GET /Application/Admin/Reportpiuinitiate.jsp HTTP/1.1" 200 66380
0:0:0:0:0:0:0:1 - - [21/May/2018:14:14:41 +0530] "GET /Application/Admin/resources/css/form-style.css HTTP/1.1" 404 1043
0:0:0:0:0:0:0:1 - - [21/May/2018:14:14:41 +0530] "GET /Application/Admin/resources/bootstrap/css/bootstrap.min.css HTTP/1.1" 404 1069
0:0:0:0:0:0:0:1 - - [21/May/2018:14:14:41 +0530] "GET /Application/Admin/resources/bootstrap/css/bootstrap.css HTTP/1.1" 404 1061
0:0:0:0:0:0:0:1 - - [21/May/2018:14:14:41 +0530] "GET /Application/Admin/resources/bootstrap/css/bootstrap.min.css HTTP/1.1" 404 1069
0:0:0:0:0:0:0:1 - - [21/May/2018:14:14:41 +0530] "GET /Application/Admin/resources/bootstrap/css/bootstrap.css HTTP/1.1" 404 1061
0:0:0:0:0:0:0:1 - - [21/May/2018:14:14:56 +0530] "GET /Application/Admin/PublicView.jsp HTTP/1.1" 200 4371
0:0:0:0:0:0:0:1 - - [21/May/2018:14:14:57 +0530] "GET /Application/Admin/bgcolor=red HTTP/1.1" 404 1009
0:0:0:0:0:0:0:1 - - [21/May/2018:14:17:25 +0530] "GET /Application/Admin/User_list1.jsp HTTP/1.1" 200 12556
0:0:0:0:0:0:0:1 - - [21/May/2018:14:17:25 +0530] "GET /Application/Admin/resources/css/form-style.css HTTP/1.1" 404 1043
0:0:0:0:0:0:0:1 - - [21/May/2018:14:17:25 +0530] "GET /Application/Admin/resources/bootstrap/css/bootstrap.min.css HTTP/1.1" 404 1069
0:0:0:0:0:0:0:1 - - [21/May/2018:14:17:25 +0530] "GET /Application/Admin/resources/bootstrap/css/bootstrap.css HTTP/1.1" 404 1061
0:0:0:0:0:0:0:1 - - [21/May/2018:14:18:11 +0530] "GET /Application/Admin/resources/bootstrap/css/bootstrap.min.css HTTP/1.1" 404 1069
0:0:0:0:0:0:0:1 - - [21/May/2018:14:18:11 +0530] "GET /Application/Admin/resources/bootstrap/css/bootstrap.css HTTP/1.1" 404 1061
0:0:0:0:0:0:0:1 - - [21/May/2018:14:18:11 +0530] "GET /Application/Admin/Report_dataentry.jsp?report_type=zonewise HTTP/1.1" 200 330908
0:0:0:0:0:0:0:1 - - [21/May/2018:14:18:11 +0530] "GET /Application/Admin/resources/css/buttons.dataTables.min.css HTTP/1.1" 200 8083
0:0:0:0:0:0:0:1 - - [21/May/2018:14:18:11 +0530] "GET /Application/Admin/resources/JS/jszip.min.js HTTP/1.1" 200 76998
0:0:0:0:0:0:0:1 - - [21/May/2018:14:18:11 +0530] "GET /Application/Admin/resources/JS/jquery.dataTables.min.js HTTP/1.1" 200 83236
0:0:0:0:0:0:0:1 - - [21/May/2018:14:18:11 +0530] "GET /Application/Admin/resources/JS/buttons.print.min.js HTTP/1.1" 200 1836
0:0:0:0:0:0:0:1 - - [21/May/2018:14:18:11 +0530] "GET /Application/Admin/resources/JS/buttons.html5.min.js HTTP/1.1" 200 23173
0:0:0:0:0:0:0:1 - - [21/May/2018:14:18:11 +0530] "GET /Application/Admin/resources/JS/buttons.flash.min.js HTTP/1.1" 200 25229
0:0:0:0:0:0:0:1 - - [21/May/2018:14:18:11 +0530] "GET /Application/Admin/resources/JS/dataTables.buttons.min.js HTTP/1.1" 200 16073
0:0:0:0:0:0:0:1 - - [21/May/2018:14:18:12 +0530] "GET /Application/Admin/resources/JS/jquery-1.12.4.js HTTP/1.1" 200 304438
0:0:0:0:0:0:0:1 - - [21/May/2018:14:18:12 +0530] "GET /Application/Admin/resources/bootstrap/css/bootstrap.min.css HTTP/1.1" 404 1069
0:0:0:0:0:0:0:1 - - [21/May/2018:14:18:12 +0530] "GET /Application/Admin/resources/bootstrap/css/bootstrap.css HTTP/1.1" 404 1061
0:0:0:0:0:0:0:1 - - [21/May/2018:14:18:12 +0530] "GET /Application/Admin/resources/JS/vfs_fonts.js HTTP/1.1" 200 567638
0:0:0:0:0:0:0:1 - - [21/May/2018:14:48:07 +0530] "GET /Application/Admin/admn_login.jsp HTTP/1.1" 200 10801
0:0:0:0:0:0:0:1 - - [21/May/2018:14:48:14 +0530] "GET /Application/Admin/admn_login.jsp HTTP/1.1" 200 10801
0:0:0:0:0:0:0:1 - - [21/May/2018:15:18:07 +0530] "GET /Application/Admin/admn_login.jsp HTTP/1.1" 200 10801
0:0:0:0:0:0:0:1 - - [21/May/2018:15:18:14 +0530] "GET /Application/Admin/admn_login.jsp HTTP/1.1" 200 10801
0:0:0:0:0:0:0:1 - - [21/May/2018:15:48:08 +0530] "GET /Application/Admin/admn_login.jsp HTTP/1.1" 200 10801
0:0:0:0:0:0:0:1 - - [21/May/2018:15:48:15 +0530] "GET /Application/Admin/admn_login.jsp HTTP/1.1" 200 10801
0:0:0:0:0:0:0:1 - - [21/May/2018:16:12:37 +0530] "GET /Application/Admin/admn_login.jsp HTTP/1.1" 200 10801
0:0:0:0:0:0:0:1 - - [21/May/2018:16:12:46 +0530] "GET /Application/Admin/resources/bootstrap-3.3.7-dist/css1/bootstrap-theme.css.map HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/May/2018:16:12:46 +0530] "GET /Application/Admin/resources/bootstrap-3.3.7-dist/css1/bootstrap.css.map HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/May/2018:16:18:08 +0530] "GET /Application/Admin/admn_login.jsp HTTP/1.1" 200 10801
0:0:0:0:0:0:0:1 - - [21/May/2018:16:32:31 +0530] "GET /Application/Admin/admn_login.jsp HTTP/1.1" 200 10801
0:0:0:0:0:0:0:1 - - [21/May/2018:16:46:04 +0530] "GET /Application/Admin/admn_login.jsp HTTP/1.1" 200 10801
