0:0:0:0:0:0:0:1 - - [06/Sep/2018:14:58:12 +0530] "GET /Application/Admin/js/jszip.min.js HTTP/1.1" 404 1017
0:0:0:0:0:0:0:1 - - [06/Sep/2018:14:58:12 +0530] "GET /Application/Admin/js/jquery.bootstrap-touchspin.js HTTP/1.1" 404 1051
0:0:0:0:0:0:0:1 - - [06/Sep/2018:14:58:13 +0530] "GET /Application/Admin/js/jquery.bootstrap-touchspin.js HTTP/1.1" 404 1051
0:0:0:0:0:0:0:1 - - [06/Sep/2018:14:58:13 +0530] "GET /Application/Admin/js/jszip.min.js HTTP/1.1" 404 1017
0:0:0:0:0:0:0:1 - - [06/Sep/2018:15:26:08 +0530] "GET /Application/Admin/admn_login.jsp HTTP/1.1" 200 11199
0:0:0:0:0:0:0:1 - - [06/Sep/2018:15:28:14 +0530] "GET /Application/Admin/admn_login.jsp HTTP/1.1" 200 11199
0:0:0:0:0:0:0:1 - - [06/Sep/2018:15:28:33 +0530] "POST /Application/Admin/login_success.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [06/Sep/2018:15:29:02 +0530] "GET /Application/Admin/NewIndex.jsp HTTP/1.1" 200 13432
0:0:0:0:0:0:0:1 - - [06/Sep/2018:15:29:28 +0530] "GET /Application/Admin/MoreInfo.jsp HTTP/1.1" 200 13342
0:0:0:0:0:0:0:1 - - [06/Sep/2018:15:30:05 +0530] "POST /Application/Admin/login_success.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [06/Sep/2018:15:30:12 +0530] "GET /Application/Admin/Test1.jsp HTTP/1.1" 200 15344
0:0:0:0:0:0:0:1 - - [06/Sep/2018:15:30:12 +0530] "GET /Application/Admin/css/main-image-slider.css HTTP/1.1" 404 1037
0:0:0:0:0:0:0:1 - - [06/Sep/2018:15:30:13 +0530] "GET /Application/Admin/css/jquery.bootstrap-touchspin.css HTTP/1.1" 404 1055
0:0:0:0:0:0:0:1 - - [06/Sep/2018:15:30:13 +0530] "GET /Application/Admin/js/bootstrap-multiselect.js HTTP/1.1" 404 1041
0:0:0:0:0:0:0:1 - - [06/Sep/2018:15:30:13 +0530] "GET /Application/Admin/scripts/minus.png HTTP/1.1" 404 1021
0:0:0:0:0:0:0:1 - - [06/Sep/2018:15:30:13 +0530] "GET /Application/Admin/js/jquery.bootstrap-touchspin.js HTTP/1.1" 404 1051
0:0:0:0:0:0:0:1 - - [06/Sep/2018:15:30:13 +0530] "GET /Application/Admin/css/bootstrap-multiselect.css HTTP/1.1" 404 1045
0:0:0:0:0:0:0:1 - - [06/Sep/2018:15:30:13 +0530] "GET /Application/Admin/scripts/plus.png HTTP/1.1" 404 1019
0:0:0:0:0:0:0:1 - - [06/Sep/2018:15:30:13 +0530] "GET /Application/Admin/js/jszip.min.js HTTP/1.1" 404 1017
